PATHWAY	NAME	NGENES	NCOMPOUNDS	TYPE
M00778	Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide	0	19	KEGGMODULE
M00779	Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin	0	6	KEGGMODULE
M00780	Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline	0	10	KEGGMODULE
M00781	Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone	0	10	KEGGMODULE
M00782	Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin	0	10	KEGGMODULE
M00783	Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C	0	9	KEGGMODULE
M00784	Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A	0	6	KEGGMODULE
M00785	Cycloserine biosynthesis, arginine/serine => cycloserine	0	9	KEGGMODULE
M00786	Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A	0	11	KEGGMODULE
M00787	Bacilysin biosynthesis, prephenate => bacilysin	0	8	KEGGMODULE
M00788	Terpentecin biosynthesis, GGAP => terpentecin	0	4	KEGGMODULE
M00789	Rebeccamycin biosynthesis, tryptophan => rebeccamycin	0	7	KEGGMODULE
M00790	Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin	0	5	KEGGMODULE
M00793	dTDP-L-rhamnose biosynthesis	1	5	KEGGMODULE
M00794	dTDP-6-deoxy-D-allose biosynthesis	0	3	KEGGMODULE
M00795	dTDP-beta-L-noviose biosynthesis	0	4	KEGGMODULE
M00796	dTDP-D-mycaminose biosynthesis	0	4	KEGGMODULE
M00797	dTDP-D-desosamine biosynthesis	0	5	KEGGMODULE
M00798	dTDP-L-mycarose biosynthesis	0	6	KEGGMODULE
M00799	dTDP-L-oleandrose biosynthesis	0	6	KEGGMODULE
M00800	dTDP-L-megosamine biosynthesis	0	6	KEGGMODULE
M00801	dTDP-L-olivose biosynthesis	0	5	KEGGMODULE
M00802	dTDP-D-forosamine biosynthesis	0	6	KEGGMODULE
M00803	dTDP-D-angolosamine biosynthesis	0	5	KEGGMODULE
M00804	Complete nitrification, comammox, ammonia => nitrite => nitrate	0	4	KEGGMODULE
M00805	Staurosporine biosynthesis, tryptophan => staurosporine	0	8	KEGGMODULE
M00808	Violacein biosynthesis, tryptophan => violacein	0	6	KEGGMODULE
M00810	Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde	0	9	KEGGMODULE
M00811	Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde	0	8	KEGGMODULE
M00814	Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose	0	12	KEGGMODULE
M00815	Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A	0	11	KEGGMODULE
M00819	Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone	0	9	KEGGMODULE
M00823	Chlortetracycline biosynthesis, pretetramide => chlortetracycline	0	9	KEGGMODULE
M00826	C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA	0	7	KEGGMODULE
M00827	C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP	0	5	KEGGMODULE
M00828	Maduropeptin beta-hydroxy acid moiety biosynthesis, tyrosine => 3-(4-hydroxyphenyl)-3-oxopropanoyl-PCP	0	4	KEGGMODULE
M00829	3,6-Dimethylsalicylyl-CoA biosynthesis, malonyl-CoA => 6-methylsalicylate => 3,6-dimethylsalicylyl-CoA	0	4	KEGGMODULE
M00830	Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA	0	5	KEGGMODULE
M00831	Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA	0	5	KEGGMODULE
M00832	Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP	0	4	KEGGMODULE
M00833	Calicheamicin biosynthesis, calicheamicinone => calicheamicin	0	13	KEGGMODULE
M00834	Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP	0	6	KEGGMODULE
M00835	Pyocyanine biosynthesis, chorismate => pyocyanine	0	12	KEGGMODULE
M00836	Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430	0	5	KEGGMODULE
M00837	Prodigiosin biosynthesis, L-proline => prodigiosin	0	12	KEGGMODULE
M00838	Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin	0	12	KEGGMODULE
M00840	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	1	9	KEGGMODULE
M00841	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	1	10	KEGGMODULE
M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	3	7	KEGGMODULE
M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	2	7	KEGGMODULE
M00844	Arginine biosynthesis, ornithine => arginine	3	7	KEGGMODULE
M00845	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	2	12	KEGGMODULE
M00846	Siroheme biosynthesis, glutamate => siroheme	5	10	KEGGMODULE
M00847	Heme biosynthesis, archaea, siroheme => heme	0	4	KEGGMODULE
M00848	Aurachin biosynthesis, anthranilate => aurachin A	0	9	KEGGMODULE
M00849	C5 isoprenoid biosynthesis, mevalonate pathway, archaea	9	10	KEGGMODULE
M00854	Glycogen biosynthesis, glucose-1P => glycogen/starch	5	5	KEGGMODULE
M00855	Glycogen degradation, glycogen => glucose-6P	6	3	KEGGMODULE
M00861	beta-Oxidation, peroxisome, VLCFA	6	10	KEGGMODULE
M00862	beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA	3	10	KEGGMODULE
M00867	KDO2-lipid A modification pathway	0	7	KEGGMODULE
M00868	Heme biosynthesis, animals and fungi, glycine => heme	9	9	KEGGMODULE
M00872	O-glycan biosynthesis, mannose type (core M3)	12	4	KEGGMODULE
M00873	Fatty acid biosynthesis in mitochondria, animals	8	0	KEGGMODULE
M00874	Fatty acid biosynthesis in mitochondria, fungi	5	0	KEGGMODULE
M00875	Staphyloferrin B biosynthesis, L-serine => staphyloferrin B	0	8	KEGGMODULE
M00876	Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A	0	4	KEGGMODULE
M00877	Kanosamine biosynthesis, glucose 6-phosphate => kanosamine	0	4	KEGGMODULE
M00878	Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	0	11	KEGGMODULE
M00879	Arginine succinyltransferase pathway, arginine => glutamate	0	6	KEGGMODULE
M00880	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	3	6	KEGGMODULE
PWY-4983	citrulline-nitric oxide cycle	7	13	BIOCYC
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	dolichyl-diphosphooligosaccharide biosynthesis	10	23	BIOCYC
PWY-5766	glutamate degradation X	2	6	BIOCYC
DETOX1-PWY	superoxide radicals degradation	5	5	BIOCYC
PWY66-301	catecholamine biosynthesis	6	15	BIOCYC
PWY-5652	2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA	2	12	BIOCYC
PWY-0	putrescine degradation III	7	15	BIOCYC
PWY-5686	uridine-5'-phosphate biosynthesis	3	21	BIOCYC
PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)	5	11	BIOCYC
PWY-5657	GDP-mannose biosynthesis I	6	8	BIOCYC
PWY-6576	dermatan sulfate degradation (metazoa)	1	11	BIOCYC
PWY-5329	L-cysteine degradation III	1	8	BIOCYC
HOMOCYSDEGR-PWY	cysteine biosynthesis/homocysteine degradation	2	8	BIOCYC
NAD-BIOSYNTHESIS-II	NAD salvage pathway II	12	11	BIOCYC
LIPAS-PWY	triacylglycerol degradation	15	8	BIOCYC
PWY-4921	protein citrullination	5	4	BIOCYC
PWY-5941	glycogen degradation II	8	9	BIOCYC
PWY-6362	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian)	6	11	BIOCYC
PWY-5326	sulfite oxidation IV	1	5	BIOCYC
PWY-6567	chondroitin sulfate biosynthesis (late stages)	8	13	BIOCYC
PWY-5805	nonaprenyl diphosphate biosynthesis I	1	4	BIOCYC
PWY-6292	cysteine biosynthesis III (mammalia)	8	17	BIOCYC
PWY-5142	acyl-ACP thioesterase pathway	1	4	BIOCYC
PWY-6132	lanosterol biosynthesis	1	2	BIOCYC
PWY-6137	copper transport II	2	5	BIOCYC
P1-PWY	purine and pyrimidine metabolism	26	32	BIOCYC
PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	6	13	BIOCYC
TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)	15	29	BIOCYC
PWY-46	putrescine biosynthesis III	7	4	BIOCYC
PWY-901	methylglyoxal degradation II	1	8	BIOCYC
P341-PWY	glycolysis V (Pyrococcus)	12	17	BIOCYC
PWY-6317	galactose degradation I (Leloir pathway)	5	11	BIOCYC
PWY-5148	acyl-CoA hydrolysis	11	5	BIOCYC
HYDROXYPRODEG-PWY	4-hydroxyproline degradation I	4	13	BIOCYC
PWY-5669	phosphatidylethanolamine biosynthesis I	5	7	BIOCYC
PWY3DJ-5	biosynthesis of serotonin and melatonin	5	14	BIOCYC
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	3	7	BIOCYC
PWY-3781	aerobic respiration -- electron donor II	72	12	BIOCYC
PWY-5884	wax esters biosynthesis I	2	8	BIOCYC
GLUTOXA-PWY	glutamate degradation VII	4	19	BIOCYC
ARGASEDEG-PWY	arginine degradation I (arginase pathway)	4	11	BIOCYC
THRDLCTCAT-PWY	threonine degradation III (to methylglyoxal)	3	12	BIOCYC
PWY-6353	purine nucleotides degradation II (aerobic)	22	19	BIOCYC
TYRFUMCAT-PWY	tyrosine degradation I	7	13	BIOCYC
PWY3DJ-11470	sphingosine and sphingosine-1-phosphate metabolism	9	14	BIOCYC
ALANINE-SYN2-PWY	alanine biosynthesis II	2	4	BIOCYC
PWY66-373	sucrose degradation V (mammalian)	7	12	BIOCYC
CITRULLINE-DEG-PWY	citrulline degradation	1	9	BIOCYC
PWY-5870	ubiquinol-8 biosynthesis (eukaryotic)	1	23	BIOCYC
PWY0-1182	trehalose degradation II (trehalase)	2	7	BIOCYC
TRNA-CHARGING-PWY	tRNA charging pathway	63	64	BIOCYC
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	2	9	BIOCYC
PWY-5874	heme degradation	4	11	BIOCYC
PYRNUCYC-PWY	pyridine nucleotide cycling	7	17	BIOCYC
RIBOKIN-PWY	ribose degradation	1	7	BIOCYC
PWY-4061	glutathione-mediated detoxification	28	15	BIOCYC
PWY-6260	thyroid hormone metabolism I (via deiodination)	3	13	BIOCYC
GLYSYN-ALA-PWY	glycine biosynthesis III	2	4	BIOCYC
PWY-5668	cardiolipin biosynthesis I	2	10	BIOCYC
PWY-6364	D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis	5	8	BIOCYC
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation	8	9	BIOCYC
PWY-5138	fatty acid &beta;-oxidation IV (unsaturated, even number)	8	9	BIOCYC
PWY3DJ-219	PIP metabolism	51	18	BIOCYC
PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	5	5	BIOCYC
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	17	11	BIOCYC
PWY-5994	palmitate biosynthesis I (animals)	2	38	BIOCYC
PWY-6138	CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)	1	15	BIOCYC
PWY-5084	2-ketoglutarate dehydrogenase complex	4	10	BIOCYC
GLUCONEO-PWY	gluconeogenesis I	21	23	BIOCYC
PWY-5489	methyl parathion degradation	1	5	BIOCYC
ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)	3	5	BIOCYC
PWY-2161B	glutamate removal from folates	2	3	BIOCYC
TYRSYN2	tyrosine biosynthesis II	3	5	BIOCYC
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	13	17	BIOCYC
PWY-5080	very long chain fatty acid biosynthesis	4	11	BIOCYC
PWY-5965	fatty acid biosynthesis initiation III	2	6	BIOCYC
ASPARAGINE-BIOSYNTHESIS	asparagine biosynthesis I	2	9	BIOCYC
PWY-4041	&gamma;-glutamyl cycle	11	15	BIOCYC
PWY6666-1	anandamide degradation	1	4	BIOCYC
SAM-PWY	S-adenosyl-L-methionine biosynthesis	3	6	BIOCYC
GLYCOLYSIS	glycolysis I	19	18	BIOCYC
PWY-5041	<i>S</i>-adenosyl-L-methionine cycle II	6	13	BIOCYC
PHENYLALANINE-DEG1-PWY	phenylalanine degradation I (aerobic)	4	10	BIOCYC
PWY-5269	cardiolipin biosynthesis II	1	9	BIOCYC
PWY-6367	D-<i>myo</i>-inositol-5-phosphate metabolism	19	10	BIOCYC
PWY-6535	4-aminobutyrate degradation I	2	9	BIOCYC
ARG-PRO-PWY	arginine degradation VI (arginase 2 pathway)	6	12	BIOCYC
PWY3DJ-7	cyclic GMP biosynthesis	16	6	BIOCYC
PWY-4984	urea cycle	6	17	BIOCYC
PWY-922	mevalonate pathway I	11	17	BIOCYC
PWY0-662	PRPP biosynthesis I	3	5	BIOCYC
PYRUVDEHYD-PWY	acetyl-CoA biosynthesis (from pyruvate)	5	10	BIOCYC
PHOSLIPSYN-PWY	phospholipid biosynthesis I	20	25	BIOCYC
MANNCAT-PWY	D-mannose degradation	1	2	BIOCYC
PWY-5328	superpathway of methionine degradation	19	36	BIOCYC
PWY-6599	guanine and guanosine salvage II	1	7	BIOCYC
RUMP-PWY	formaldehyde oxidation I	6	14	BIOCYC
PWY-4561	proline degradation II	2	9	BIOCYC
PWY-5004	superpathway of citrulline metabolism	17	30	BIOCYC
PWY3O-19	ubiquinol-6 biosynthesis (eukaryotic)	1	21	BIOCYC
PWY-5137	fatty acid &beta;-oxidation III (unsaturated, odd number)	3	2	BIOCYC
PROPIONMET-PWY	methylmalonyl pathway	4	9	BIOCYC
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	6	14	BIOCYC
PWY0-162	pyrimidine ribonucleotides <i>de novo</i> biosynthesis	13	25	BIOCYC
PWY66-366	flavin biosynthesis IV (mammalian)	2	7	BIOCYC
PWY0-501	lipoate biosynthesis and incorporation I	1	9	BIOCYC
PWY-6558	heparan sulfate biosynthesis (late stages)	21	22	BIOCYC
PWY-5350	thiosulfate disproportionation III (rhodanese)	1	5	BIOCYC
PWY-5667	CDP-diacylglycerol biosynthesis I	13	12	BIOCYC
PWY-5659	GDP-mannose biosynthesis	6	8	BIOCYC
PWY-5885	wax esters biosynthesis II	2	7	BIOCYC
PWY-5481	pyruvate fermentation to lactate	4	5	BIOCYC
GLUTAMINE-SYN2-PWY	glutamine biosynthesis II	5	10	BIOCYC
SER-GLYSYN-PWY	superpathway of serine and glycine biosynthesis I	6	14	BIOCYC
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	3	17	BIOCYC
PWY66-341	cholesterol biosynthesis I	12	35	BIOCYC
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	4	14	BIOCYC
PWY-6609	adenine and adenosine salvage III	7	11	BIOCYC
PWY-4261	glycerol degradation IV	6	9	BIOCYC
PWY0-1334	NADH to cytochrome <i>bd</i> oxidase electron transfer I	51	8	BIOCYC
PWY3DJ-12	ceramide biosynthesis	11	12	BIOCYC
PWY-6568	dermatan sulfate biosynthesis (late stages)	1	9	BIOCYC
PWY-5525	D-glucuronate degradation I	3	11	BIOCYC
PWY-5934	Fe(III)-reduction and Fe(II) transport	1	5	BIOCYC
ASPARAGINE-DEG1-PWY	asparagine degradation I	2	5	BIOCYC
GLUTATHIONESYN-PWY	glutathione biosynthesis	3	9	BIOCYC
GLUTAMINE-DEG1-PWY	glutamine degradation I	4	8	BIOCYC
PWY0-823	arginine degradation III (arginine decarboxylase/agmatinase pathway)	1	7	BIOCYC
PWY-6181	histamine degradation	2	18	BIOCYC
PWY-3982	uracil degradation II (reductive)	3	10	BIOCYC
GALACTMETAB-PWY	UDP-galactose biosynthesis (salvage pathway from galactose using UDP-glucose)	5	10	BIOCYC
PWY-6124	inosine-5'-phosphate biosynthesis II	3	16	BIOCYC
PWY-3561	choline biosynthesis III	9	11	BIOCYC
PWY-5046	branched-chain &alpha;-keto acid dehydrogenase complex	4	10	BIOCYC
PWY-6517	<i>N</i>-acetylglucosamine degradation II	4	10	BIOCYC
PWY-6061	bile acid biosynthesis, neutral pathway	6	48	BIOCYC
PWY-6571	dermatan sulfate biosynthesis	13	23	BIOCYC
ORNSPNANA-PWY	spermine biosynthesis II	9	8	BIOCYC
PENTOSE-P-PWY	pentose phosphate pathway	11	17	BIOCYC
ASPBIO-PWY	aspartate biosynthesis	2	10	BIOCYC
GLYCLEAV-PWY	glycine cleavage complex	3	11	BIOCYC
PWY6666-2	dopamine degradation	8	17	BIOCYC
COA-PWY	coenzyme A biosynthesis	5	13	BIOCYC
PWY-6566	chondroitin and dermatan biosynthesis	5	8	BIOCYC
GLYCGREAT-PWY	glycine degradation (creatine biosynthesis)	2	8	BIOCYC
PWY-2361	3-oxoadipate degradation	2	6	BIOCYC
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	3	7	BIOCYC
PWY-6144	CMP-<i>N</i>-glycoloylneuraminate biosynthesis	1	7	BIOCYC
PWY3DJ-35778	Serine degradation II	5	13	BIOCYC
PWY3DJ-35549	Biopterin recycling	3	7	BIOCYC
PWY-6118	glycerol-3-phosphate shuttle	4	8	BIOCYC
PWY0-1301	melibiose degradation	1	4	BIOCYC
VALDEG-PWY	valine degradation I	8	20	BIOCYC
CYSTEINE-SYN2-PWY	cysteine biosynthesis II	2	8	BIOCYC
PWY-6173	histamine biosynthesis	1	4	BIOCYC
PWY-2201	folate transformations I	11	26	BIOCYC
PWY-2501	fatty acid &alpha;-oxidation	10	10	BIOCYC
PWY3DJ-471	creatine-phosphate energy transfer	8	5	BIOCYC
PWY-5664	tetrahydrobiopterin biosynthesis II	3	11	BIOCYC
PWY-6076	1,25-dihydroxyvitamin D<sub>3</sub> biosynthesis	1	12	BIOCYC
PWY0-1264	biotin-carboxyl carrier protein assembly	3	13	BIOCYC
SALVPURINE2-PWY	xanthine and xanthosine salvage	2	7	BIOCYC
TRPCAT-PWY	tryptophan degradation I (via anthranilate)	4	9	BIOCYC
URSIN-PWY	ureide biosynthesis	19	17	BIOCYC
PWY3DJ-81	riboflavin, FMN and FAD transformations	3	10	BIOCYC
PWY-5173	superpathway of acetyl-CoA biosynthesis	6	15	BIOCYC
CITRULBIO-PWY	citrulline biosynthesis	9	22	BIOCYC
LIPASYN-PWY	phospholipases	34	12	BIOCYC
PWY-3661	glycine betaine degradation	8	18	BIOCYC
PWY-6473	4-aminobutyrate degradation IV	2	9	BIOCYC
P61-PWY	UDP-glucose conversion	6	6	BIOCYC
PWY3DJ-4	biosynthesis of corticosteroids	7	23	BIOCYC
PWY3DJ-1	cyclic AMP biosynthesis	61	9	BIOCYC
PWY3DJ-0	isoleucine degradation	15	28	BIOCYC
PWY-6351	D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis	23	12	BIOCYC
PWY-6	GDP-L-fucose biosynthesis II (from L-fucose)	2	8	BIOCYC
PWY-5189	tetrapyrrole biosynthesis II	5	11	BIOCYC
GLYSYN-PWY	glycine biosynthesis I	2	5	BIOCYC
PWY-2161	folate polyglutamylation	5	14	BIOCYC
PWY-6352	3-phosphoinositide biosynthesis	23	15	BIOCYC
PWY3DJ-35471	L-ascorbate biosynthesis VI	5	19	BIOCYC
PWY-6405	Rapoport-Luebering glycolytic shunt	3	7	BIOCYC
PWY-4821	UDP-D-xylose and UDP-D-glucuronate biosynthesis	2	8	BIOCYC
PWY66-4	cholesterol biosynthesis III (via desmosterol)	11	35	BIOCYC
PWY66-368	ketolysis	7	10	BIOCYC
TRIGLSYN-PWY	triacylglycerol biosynthesis	19	12	BIOCYC
GLYSYN-THR-PWY	glycine biosynthesis IV	1	3	BIOCYC
PWY-5921	L-glutamine biosynthesis II (tRNA-dependent)	1	10	BIOCYC
PWY-5697	allantoin degradation to ureidoglycolate I (urea producing)	1	6	BIOCYC
ARGSPECAT-PWY	spermine biosynthesis	3	7	BIOCYC
PWY-6365	D-<i>myo</i>-inositol (3,4,5,6)-tetrakisphosphate biosynthesis	1	9	BIOCYC
PWY-6348	phosphate acquisition	7	4	BIOCYC
ADENOSYLHOMOCYSCAT-PWY	methionine salvage II (mammalia)	3	6	BIOCYC
PWY-5109	2-methylbutyrate biosynthesis	5	15	BIOCYC
PWY-6619	adenine and adenosine salvage VI	1	5	BIOCYC
GLUT-REDOX-PWY	glutathione redox reactions II	1	7	BIOCYC
PWY-5687	pyrimidine ribonucleotides interconversion	10	12	BIOCYC
PWY-842	starch degradation	19	15	BIOCYC
PWY3DJ-11281	sphingomyelin metabolism	8	6	BIOCYC
PWY-5663	tetrahydrobiopterin biosynthesis I	3	10	BIOCYC
PWY0-1298	pyrimidine deoxyribonucleosides degradation	5	18	BIOCYC
PWY-5340	sulfate activation for sulfonation	2	7	BIOCYC
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)	5	11	BIOCYC
SERSYN-PWY	serine biosynthesis	4	11	BIOCYC
ARGININE-SYN4-PWY	arginine biosynthesis IV	6	22	BIOCYC
PWY-6573	chondroitin sulfate degradation (metazoa)	3	10	BIOCYC
PWY-5143	fatty acid activation	11	6	BIOCYC
PWY66-201	nicotine degradation II	56	27	BIOCYC
CYSTEINE-DEG-PWY	L-cysteine degradation I	3	10	BIOCYC
PWY-5996	oleate biosynthesis II (animals)	18	9	BIOCYC
PWY66-3	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	8	35	BIOCYC
PWY-5920	heme biosynthesis II	9	18	BIOCYC
PWY3DJ-35588	creatine biosynthesis	4	14	BIOCYC
PWY-6557	glycoaminoglycan-protein linkage region biosynthesis	7	10	BIOCYC
PWY3FA-941	ketogenesis	8	12	BIOCYC
COLANSYN-PWY	colanic acid building blocks biosynthesis	14	24	BIOCYC
PWY3DJ-35888	sulfur metabolism	3	11	BIOCYC
PWY3DJ-35583	biosynthesis of prostaglandins	11	15	BIOCYC
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	2	7	BIOCYC
PWY3DJ-2	biosynthesis of estrogens	12	24	BIOCYC
PWY-4981	proline biosynthesis II (from arginine)	5	16	BIOCYC
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	3	16	BIOCYC
PWY0-522	lipoate salvage and modification	1	8	BIOCYC
PWY-5490	paraoxon degradation	1	5	BIOCYC
PWY-5670	epoxysqualene biosynthesis	2	11	BIOCYC
PWY3O-4106	NAD salvage pathway III	4	7	BIOCYC
PWY66-367	ketogenesis	8	12	BIOCYC
GLUTFUMARATE-PWY	glutamine degradation II	3	8	BIOCYC
PWY66-21	ethanol degradation II (cytosol)	14	12	BIOCYC
PWY-5389	methylthiopropionate biosynthesis	1	6	BIOCYC
PLPSAL-PWY	pyridoxal 5'-phosphate salvage pathway	2	13	BIOCYC
MANGDPMET-PWY	GDP-mannose metabolism	9	12	BIOCYC
PWY-5690-1	TCA cycle variation III (eukaryotic)	14	22	BIOCYC
PWY0-181	salvage pathways of pyrimidine deoxyribonucleotides	6	14	BIOCYC
PWY-5136	fatty acid &beta;-oxidation II (core pathway)	22	16	BIOCYC
PWY-40	putrescine biosynthesis I	1	7	BIOCYC
DRIBOPMET-PWY	(deoxy)ribose phosphate degradation	10	19	BIOCYC
PWY-6355	phosphate acquisition II	20	7	BIOCYC
PWY-5966	fatty acid biosynthesis initiation II	2	7	BIOCYC
PWY-6481	L-dopachrome biosynthesis	2	8	BIOCYC
PWY3DJ-6	Leucine Catabolism	12	25	BIOCYC
PWY-6268	adenosylcobalamin salvage from cobalamin	1	4	BIOCYC
PWY-6030	serotonin and melatonin biosynthesis	5	14	BIOCYC
PWY3O-450	phosphatidylcholine biosynthesis I	6	11	BIOCYC
PWY-6569	chondroitin sulfate biosynthesis	17	23	BIOCYC
PWY-6689	tRNA splicing	3	17	BIOCYC
PWY-5535	acetate formation from acetyl-CoA II	1	6	BIOCYC
BETA-ALA-DEGRADATION-I-PWY	&beta;-alanine degradation I	2	9	BIOCYC
PWY-3841	folate transformations II (plants)	13	25	BIOCYC
LEU-DEG2-PWY	leucine degradation I	8	22	BIOCYC
PWY-6281	selenocysteine biosynthesis II (archaea and eukaryotes)	4	14	BIOCYC
PWY3FA-1022	ketone oxidation	7	10	BIOCYC
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	3	18	BIOCYC
PWY-6608	guanosine nucleotides degradation III	16	12	BIOCYC
PWY0-1319	CDP-diacylglycerol biosynthesis II	12	12	BIOCYC
PWY-4081	glutathione redox reactions I	9	9	BIOCYC
PWY-5767	glycogen degradation III	9	9	BIOCYC
CYSDEGRV-PWY	L-cysteine degradation VI	2	6	BIOCYC
PARATHION-DEGRADATION-PWY	parathion degradation	2	7	BIOCYC
BGALACT-PWY	lactose degradation III	6	4	BIOCYC
PWY-6000	&gamma;-linolenate biosynthesis II (animals)	15	11	BIOCYC
GLUTAMATE-SYN2-PWY	glutamate biosynthesis II	2	6	BIOCYC
MALATE-ASPARTATE-SHUTTLE-PWY	aspartate degradation II	2	8	BIOCYC
PWY-5963	molybdenum cofactor (sulfide) biosynthesis	1	6	BIOCYC
PWY-2301	<i>myo</i>-inositol biosynthesis	4	5	BIOCYC
PWY3DJ-8	biosynthesis of androgens	8	17	BIOCYC
PWY-3981	&beta;-alanine biosynthesis I	12	10	BIOCYC
PWY-5661	GDP-glucose biosynthesis	6	10	BIOCYC
NAD-BIOSYNTHESIS-III	NAD biosynthesis III	4	7	BIOCYC
PWY-6363	D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation	7	6	BIOCYC
PWY-5386	methylglyoxal degradation I	3	10	BIOCYC
HEME-BIOSYNTHESIS-II	heme biosynthesis from uroporphyrinogen-III I	4	11	BIOCYC
PWY66-221	nicotine degradation III	48	26	BIOCYC
SERDEG-PWY	L-serine degradation	2	4	BIOCYC
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I	3	7	BIOCYC
FAO-PWY	fatty acid &beta;-oxidation I	32	18	BIOCYC
PROLINE-SYN2-PWY	proline biosynthesis II	6	16	BIOCYC
PWY-6358	superpathway of D-<i>myo</i>-inositol (1,4,5)-trisphosphate metabolism	11	11	BIOCYC
THIOREDOX-PWY	thioredoxin pathway	3	6	BIOCYC
PROLINE-DEG2-PWY	proline degradation III	3	9	BIOCYC
LARABITOLUTIL-PWY	xylitol degradation	2	8	BIOCYC
ANAGLYCOLYSIS-PWY	glycolysis III	17	18	BIOCYC
PWY-6100	L-carnitine biosynthesis	4	14	BIOCYC
PWY-5177	glutaryl-CoA degradation	7	14	BIOCYC
PWY3DJ-213	Targeted protein degradation	29	8	BIOCYC
LYSINE-DEG1-PWY	lysine degradation II	4	17	BIOCYC
PWY-5079	phenylalanine degradation III	7	12	BIOCYC
PWY-5514	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis II	7	13	BIOCYC
